#,TITLE,ARTIST,RELEASE,ADDED,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,A.SEP,RND,Key
72,Soy Yo,Bomba Estéreo,2015-06-02,2026-07-02,117,58,89,-8,79,2:39,4,64,89,5752,4B
59,Boogie's in My Soul,Chaka Khan,2026-06-19,2026-07-02,116,95,65,-3,69,3:42,2,63,78,7944,7A
82,Havana - Remix,Camila Cabello,2017-11-12,2026-07-02,105,58,75,-4,35,3:19,40,63,102,7252,6A
79,Salvame Hoy (feat. Gabito Ballesteros),Jennifer Lopez,2026-05-29,2026-07-02,108,81,73,-4,23,3:35,2,63,166,9548,9A
84,La Vida Es Una (From Puss in Boots: The Last Wish),KAROL G,2022-12-08,2026-07-02,110,78,82,-7,63,3:09,7,62,104,1515,3B
76,CUCARACHEO,Sebastian Yatra,2026-02-13,2026-07-02,128,86,74,-4,83,2:33,6,61,92,629,9B
89,Fuerzas Pa',Vaes,2026-01-29,2026-07-02,156,54,51,-9,58,2:36,43,61,23,279,9B
75,Vivir Mi Vida - Versión Pop,Marc Anthony,2013-07-23,2026-07-02,130,92,57,-3,70,3:51,8,61,91,1473,5B
56,Don't You Blink,Two Friends,2026-05-07,2026-07-02,124,73,53,-5,47,3:50,1,60,76,6936,5B
81,La Cintura (feat. Flo Rida & Tini) - Remix,Alvaro Soler,2019-05-10,2026-07-02,100,84,68,-4,78,2:58,4,60,96,7973,11B
42,PARADISE TO ME,Niko Moon,2021-08-27,2026-07-02,155,62,76,-7,40,3:36,2,60,18,3456,10B
77,Borracho Y Loco,IAmChino,2025-08-29,2026-07-02,126,92,44,-4,93,2:44,1,58,93,5953,5A
85,NO SABO,Micah Palace,2024-07-12,2026-07-02,118,72,67,-3,83,1:57,14,58,105,4983,9B
91,Encontrarte,Majo y Dan,2025-10-17,2026-07-02,164,79,59,-6,70,3:38,22,57,111,9685,11B
83,OBSESIÓN,Samurai Jay,2026-03-19,2026-07-02,122,93,62,-4,76,3:08,3,56,103,2112,7B
86,EL TOQUE,Daddy Yankee,2025-10-16,2026-07-02,110,89,80,-4,65,2:48,29,55,167,6594,9A
90,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),Pitbull,2017-03-09,2026-07-02,105,96,49,-3,52,3:14,3,55,110,1824,8A
88,Que Lio,Psycho Pablo,2026-05-08,2026-07-02,94,86,70,-3,98,2:51,10,55,107,5630,2A
95,Asi Es Tu Amor,Vaes,2026-03-19,2026-07-02,166,61,68,-7,59,2:49,12,54,168,2216,1A
92,Calma - Alan Walker Remix,Pedro Capó,2019-06-21,2026-07-02,127,60,81,-7,58,3:13,10,53,112,4575,10B
70,Dame Un Grrr,Fantomel,2025-06-20,2026-07-02,118,83,90,-4,90,2:13,3,53,86,5765,6B
47,Good Day To Have A Great Day,Russell Dickerson,2024-05-03,2026-07-02,92,83,69,-4,82,3:01,15,52,72,2788,11B
93,JUMP (feat. Steve Vai & Travis Barker) - Coca-Cola Anthem for the FIFA World Cup 26™,J Balvin,2026-03-06,2026-07-02,130,72,53,-6,14,3:28,0,52,113,6029,8B
